Student,LPIPS,SSIM
112590058.jpg,0.0,1.0
113590008.png,0.3549913167953491,0.41654959127220115
113590049.png,0.36234235763549805,0.43722782713067054
113590059.png,0.4042346179485321,0.4698524058635145
113590018.png,0.4063628911972046,0.423596756019912
113590023.png,0.41280314326286316,0.39472095699619664
113590062.png,0.4219781756401062,0.4027102393473434
113590050.png,0.4250066578388214,0.4530028970584886
113590028.png,0.4335053563117981,0.4609452198946629
113590011.png,0.43638819456100464,0.4226119987315415
113590036.png,0.44678446650505066,0.35583410387052794
113590045.png,0.44800865650177,0.403692536680115
113590006.png,0.45101773738861084,0.394675424732418
112590040.png,0.45448940992355347,0.39448800474309403
113AB0018.png,0.46220365166664124,0.42493663496489065
113590044.png,0.4695781469345093,0.40139873690911454
112590452.png,0.47160735726356506,0.40926782291327785
113590002.png,0.476940393447876,0.4624507216344141
112590454.png,0.4808591306209564,0.4150450210364949
113590013.png,0.4827954173088074,0.25464791364610306
113590052.png,0.4841747283935547,0.40129103030872465
113590015.png,0.4855383336544037,0.43037121380146004
113590042.png,0.48810863494873047,0.3931554386424395
113590021.png,0.48854029178619385,0.45536934411248114
113AC1012.png,0.4905829131603241,0.4318523495678067
113590001.png,0.4978913962841034,0.43283564771802785
112590455.png,0.503024160861969,0.42687930547472497
113590061.png,0.5038289427757263,0.4058918409190248
113590451.png,0.5048593282699585,0.40121745890605365
113590031.png,0.5068308115005493,0.4355720104859015
113590056.png,0.5150116682052612,0.434500064785185
114054809.png,0.51706862449646,0.41739933628634546
113370239.png,0.5173059701919556,0.45735872776504444
111590455.png,0.5210949778556824,0.3739392273323677
111590062.png,0.5214576721191406,0.43363357683609605
110590455.png,0.5214673280715942,0.41473288838796984
113590051.png,0.5233306884765625,0.4328478565202731
113590039.png,0.5266710519790649,0.43764165533185756
111590047.png,0.5293244123458862,0.44454196087406206
113590057.png,0.532371461391449,0.3818204614757011
113590026.png,0.5334800481796265,0.4393793670823118
113590003.png,0.5360775589942932,0.44707568972115996
113590022.png,0.5363361835479736,0.420929258440644
113590033.png,0.5471662282943726,0.4086949278234213
113590450.png,0.5486562252044678,0.4057874544050301
111590028.png,0.5505130290985107,0.41925650565602346
113590032.png,0.5535019636154175,0.464720425379083
113590060.png,0.5605291128158569,0.4421598916314423
113590010.png,0.5749015808105469,0.39008783548761666
113590040.png,0.5856766104698181,0.4052531063159475
113590005.png,0.594831109046936,0.442942061243196
113590004.png,0.6008017659187317,0.45706283048891605
113590047.png,0.6074346303939819,0.44864415222778126
113590043.png,0.6170087456703186,0.4660685618649403
113590025.png,0.6238603591918945,0.4627528642190195
111590042.png,0.642551600933075,0.4627110771088931
